Date;Open;High;Low;Close;Adj Close;Volume
24/12/2018;3.760.000.000;3.760.000.000;3.760.000.000;3.760.000.000;3.241.262.695;0
25/12/2018;3.760.000.000;3.760.000.000;3.760.000.000;3.760.000.000;3.241.262.695;0
26/12/2018;3.730.000.000;3.750.000.000;3.700.000.000;3.730.000.000;3.215.401.611;50416400
27/12/2018;3.780.000.000;3.790.000.000;3.730.000.000;3.750.000.000;3.232.642.334;49980900
28/12/2018;3.770.000.000;3.780.000.000;3.750.000.000;3.750.000.000;3.232.642.334;48224400
31/12/2018;3.750.000.000;3.750.000.000;3.750.000.000;3.750.000.000;3.232.642.334;0
01/01/2019;3.750.000.000;3.750.000.000;3.750.000.000;3.750.000.000;3.232.642.334;0
02/01/2019;3.750.000.000;3.760.000.000;3.700.000.000;3.730.000.000;3.215.401.611;31355300
03/01/2019;3.710.000.000;3.770.000.000;3.690.000.000;3.740.000.000;3.224.021.973;83842400
04/01/2019;3.690.000.000;3.740.000.000;3.690.000.000;3.710.000.000;3.198.160.889;73936900
07/01/2019;3.760.000.000;3.790.000.000;3.750.000.000;3.770.000.000;3.249.883.057;83678100
