Date,Open,High,Low,Close,Adj Close,Volume
2018-08-15,3.350.000.000,3.450.000.000,3.310.000.000,3.430.000.000,2.956.790.039,95526000
2018-08-16,3.390.000.000,3.430.000.000,3.350.000.000,3.350.000.000,2.887.826.904,112653900
2018-08-17,3.350.000.000,3.350.000.000,3.350.000.000,3.350.000.000,2.887.826.904,0
2018-08-20,3.420.000.000,3.450.000.000,3.370.000.000,3.390.000.000,2.922.308.594,163133800
2018-08-21,3.400.000.000,3.440.000.000,3.350.000.000,3.350.000.000,2.887.826.904,126746000
2018-08-22,3.350.000.000,3.350.000.000,3.350.000.000,3.350.000.000,2.887.826.904,0
2018-08-23,3.390.000.000,3.390.000.000,3.290.000.000,3.300.000.000,2.844.725.098,209401300
2018-08-24,3.290.000.000,3.340.000.000,3.270.000.000,3.290.000.000,2.836.104.980,103476200
2018-08-27,3.330.000.000,3.480.000.000,3.310.000.000,3.460.000.000,2.982.651.367,142917000
2018-08-28,3.480.000.000,3.600.000.000,3.480.000.000,3.580.000.000,3.086.095.703,224122500
2018-08-29,3.560.000.000,3.610.000.000,3.520.000.000,3.580.000.000,3.086.095.703,126710100
2018-08-30,3.580.000.000,3.590.000.000,3.510.000.000,3.510.000.000,3.025.753.174,80352300
2018-08-31,3.500.000.000,3.520.000.000,3.460.000.000,3.490.000.000,3.008.512.451,109920300
2018-09-03,3.520.000.000,3.550.000.000,3.480.000.000,3.490.000.000,3.008.512.451,46014400
2018-09-04,3.500.000.000,3.510.000.000,3.410.000.000,3.420.000.000,2.948.169.922,77620800
2018-09-05,3.400.000.000,3.400.000.000,3.250.000.000,3.270.000.000,2.818.864.258,183864900
2018-09-06,3.250.000.000,3.380.000.000,3.250.000.000,3.360.000.000,2.896.447.510,172294300
2018-09-07,3.360.000.000,3.390.000.000,3.320.000.000,3.390.000.000,2.922.308.594,99447200
2018-09-10,3.380.000.000,3.400.000.000,3.350.000.000,3.380.000.000,2.913.688.232,48741600
2018-09-11,3.380.000.000,3.380.000.000,3.380.000.000,3.380.000.000,2.913.688.232,0
2018-09-12,3.380.000.000,3.390.000.000,3.310.000.000,3.320.000.000,2.861.966.064,81217700
2018-09-13,3.370.000.000,3.470.000.000,3.370.000.000,3.450.000.000,2.974.030.762,115198100
2018-09-14,3.470.000.000,3.600.000.000,3.470.000.000,3.590.000.000,3.094.716.309,156541000
2018-09-17,3.550.000.000,3.570.000.000,3.430.000.000,3.470.000.000,2.991.271.729,95431800
2018-09-18,3.470.000.000,3.590.000.000,3.440.000.000,3.570.000.000,3.077.475.586,132571400
2018-09-19,3.580.000.000,3.610.000.000,3.540.000.000,3.550.000.000,3.060.234.619,88139600
2018-09-20,3.590.000.000,3.640.000.000,3.570.000.000,3.600.000.000,3.103.336.426,80194400
2018-09-21,3.630.000.000,3.630.000.000,3.550.000.000,3.600.000.000,3.103.336.426,98577800
2018-09-24,3.590.000.000,3.600.000.000,3.510.000.000,3.540.000.000,3.051.614.258,48101000
2018-09-25,3.540.000.000,3.560.000.000,3.520.000.000,3.560.000.000,3.068.854.980,25350200
2018-09-26,3.550.000.000,3.590.000.000,3.540.000.000,3.540.000.000,3.051.614.258,51055900
2018-09-27,3.580.000.000,3.590.000.000,3.550.000.000,3.580.000.000,3.086.095.703,49549400
2018-09-28,3.600.000.000,3.670.000.000,3.600.000.000,3.640.000.000,3.137.817.871,116695900
2018-10-01,3.610.000.000,3.690.000.000,3.610.000.000,3.670.000.000,3.163.679.443,45504900
2018-10-02,3.640.000.000,3.670.000.000,3.580.000.000,3.620.000.000,3.120.577.148,61393800
2018-10-03,3.570.000.000,3.640.000.000,3.570.000.000,3.600.000.000,3.103.336.426,46611900
